id,level_id,degree_id,user_id,"created_at","updated_at"
80,2,1,55,"2021-03-14 10:36:51","2021-03-14 10:36:51"
81,2,1,56,"2021-03-14 10:37:41","2021-03-14 10:37:41"
82,2,1,57,"2021-03-14 10:38:01","2021-03-14 10:38:01"
83,2,1,58,"2021-03-14 10:38:21","2021-03-14 10:38:21"
84,2,1,59,"2021-03-14 10:38:36","2021-03-14 10:38:36"
85,2,1,60,"2021-03-14 10:38:53","2021-03-14 10:38:53"
86,2,1,61,"2021-03-14 10:39:17","2021-03-14 10:39:17"
87,2,1,62,"2021-03-14 10:40:03","2021-03-14 10:40:03"
88,2,1,63,"2021-03-14 10:40:22","2021-03-14 10:40:22"
89,2,1,64,"2021-03-14 10:40:43","2021-03-14 10:40:43"
90,2,1,65,"2021-03-14 10:41:06","2021-03-14 10:41:06"
91,2,1,66,"2021-03-14 10:42:48","2021-03-14 10:42:48"
92,2,1,67,"2021-03-14 10:43:06","2021-03-14 10:43:06"
93,2,1,68,"2021-03-14 10:43:21","2021-03-14 10:43:21"
94,2,1,69,"2021-03-14 10:43:42","2021-03-14 10:43:42"
96,1,1,6,NULL,NULL
97,1,1,7,NULL,NULL
98,2,1,10,NULL,NULL
99,2,1,70,"2021-03-15 00:27:13","2021-03-15 00:27:13"
100,1,1,71,"2021-03-15 08:45:23","2021-03-15 08:45:23"
